[00:00:00.069 --> 00:00:04.092]  You are listening to GCN, the Genesis Communications Radio Network.
[01:54:58.762 --> 01:55:02.884]  In Catholic prophecy, we know that Russia is going to attack
[01:55:03.709 --> 01:55:05.671]  Not really, Eddie.
[01:55:05.691 --> 01:55:08.973]  Again, we don't know which way this whole thing is going to go.
[01:55:09.033 --> 01:55:11.155]  All we know is that the bad stuff is in place.
[01:55:29.964 --> 01:55:31.927]  And let's see what happens.
[01:55:32.287 --> 01:55:35.891]  I think the Russians are going to take over, and I think the U.S.
[01:55:35.971 --> 01:55:36.792]  is going to back off.
[01:55:37.253 --> 01:55:37.573]  All right.
[01:55:37.654 --> 01:55:38.695]  I hope that's the case.
[01:55:38.715 --> 01:55:42.760]  We're going to have an escalation here that could potentially move into a worldwide conflict.
[01:55:43.060 --> 01:55:44.782]  Bob Chapman, The International Forecaster.com.
[01:55:44.802 --> 01:55:45.423]  Thanks for joining us.
[01:55:46.169 --> 01:55:46.569]  Thank you.
[01:55:46.629 --> 01:55:46.969]  Bye-bye.
[01:55:47.490 --> 01:55:52.751]  Folks, September 1st, Fabled Enemies is coming out, produced by me, directed and written by Bernmus.
[01:55:53.112 --> 01:55:54.992]  Rob Jacobson and Aaron Dice did a great job editing.
[01:55:55.012 --> 01:55:56.253]  I want to thank our whole team on that.
[01:55:56.593 --> 01:56:01.254]  During the weekday show, I'll be covering us all at InfoWars.com and back here next Sunday live, 4 to 6 p.m.
[01:56:01.294 --> 01:56:01.635]  Central.
[01:56:01.915 --> 01:56:08.597]  Yeah, here's another one of the video games where they throw in your face what are actually in federal plans and different think tank operations that we've seen.
[01:56:08.897 --> 01:56:09.457]  Here it is.
[01:56:09.677 --> 01:56:13.739]  We'll go out of the show with the video game ad for Shattered Union.
[01:56:14.577 --> 01:56:18.019]  Following a disputed election and a tie vote, the U.S.
[01:56:18.079 --> 01:56:21.120]  Congress installs the most unpopular president in U.S.
[01:56:21.160 --> 01:56:26.383]  history as David Jefferson Adams becomes the 44th president of the United States.
[01:56:26.983 --> 01:56:34.887]  Shortly after the election, increased unrest, rioting, and a growing number of militias have given rise to ever-increasing domestic terrorism.
[01:56:36.868 --> 01:56:39.829]  In response, the president invokes the Homeland Security Act.
[01:56:40.473 --> 01:56:43.957]  ...and declares martial law on the West Coast and other areas of the country.
[01:56:44.557 --> 01:56:52.746]  Though highly contested, a Supreme Court ruling sidesteps the electoral process, disqualifying popular presidential candidates from several states.
[01:56:53.927 --> 01:57:00.855]  Public outrage explodes when a sham election leads to incumbent David Adams accepting a second term in office.
[01:57:03.050 --> 01:57:06.911]  During the 57th Inauguration Day Ceremonies, Washington D.C.
[01:57:07.011 --> 01:57:12.452]  is struck by a low-yield nuclear weapon, killing David Adams and most of the U.S.
[01:57:12.532 --> 01:57:13.433]  Congress.
[01:57:15.013 --> 01:57:17.014]  The destruction of Washington D.C.
[01:57:17.494 --> 01:57:21.415]  effectively breaks the chain of succession, sending the nation into chaos.
[01:57:22.055 --> 01:57:27.196]  In an emergency vote, the European Union deploys peacekeepers in the greater D.C.
[01:57:27.356 --> 01:57:29.777]  area to secure international interest.
[01:57:31.238 --> 01:57:38.666]  With separatist sentiment rising, California's governor declares home rule and secedes from the Union.
[01:57:39.467 --> 01:57:46.574]  Texas follows quickly and declares sovereignty, taking neighboring states with them and forming the Republic of Texas.
[01:57:48.496 --> 01:57:53.582]  Now, the once United States of America lies
[01:57:56.519 --> 01:58:05.105]  The time for words has passed, and a second American Civil War now erupts as seven factions wage war across the land.
[01:58:06.666 --> 01:58:08.367]  We're out of here, ladies and gentlemen.
[01:58:08.407 --> 01:58:09.067]  God bless you.
[01:58:09.247 --> 01:58:11.108]  We'll see you at InfoWars.com.
[01:58:11.449 --> 01:58:12.429]  End of transmission.
[01:58:13.590 --> 01:58:16.092]  ...build this shattered union.
[01:58:19.491 --> 01:58:20.471]  Hi, this is Ted Anderson.
[01:58:20.491 --> 01:58:22.332]  Did you miss your favorite shows on GCN today?
[01:58:22.652 --> 01:58:30.175]  Thanks to the continued support of our listeners, subscribers, and sponsors, we are proud to bring the GCN audience a new and exciting way to listen called On Demand.
[01:58:30.675 --> 01:58:36.417]  Available on GCNlive.com, On Demand plays each show continuously until the next time the show goes live.
[01:58:36.698 --> 01:58:37.558]  It's simple to use.
[01:58:37.818 --> 01:58:41.980]  Just go to GCNlive.com, click on the On Demand button, and find your favorite shows.
[01:58:42.540 --> 01:58:43.440]  Don't get discouraged.
[01:58:43.500 --> 01:58:44.741]  Get On Demand, free!
[01:58:45.201 --> 01:58:47.802]  Thanks again to the listeners at GCNlive.com.
[01:58:49.036 --> 01:58:52.858]  Mold and mildew have become one of the greatest environmental health issues of our decade.
[01:58:52.918 --> 01:58:55.879]  Countless homes and businesses have been affected by moisture problems.
[01:58:56.119 --> 01:59:02.082]  NORMI is the National Organization of Remediators and Mold Inspectors, and your area needs more mold inspectors right now.
[01:59:02.282 --> 01:59:06.744]  If you or someone you know is looking to start a new career, or simply work part-time, call NORMI today at 1-800-419-0539.
[01:59:06.764 --> 01:59:10.645]  Or log on to www.besttrainingschool.com for detailed information.
[01:59:10.665 --> 01:59:10.906]  800-419-0539.
[01:59:10.946 --> 01:59:11.326]  NORMI.
[01:59:11.366 --> 01:59:12.506]  Training for the 21st Century.
[01:59:19.503 --> 01:59:19.963]  Attention!
[01:59:20.263 --> 01:59:23.804]  This is an extremely urgent news update on the global food shortage.
[01:59:24.224 --> 01:59:30.926]  If you've ever wanted to produce your own dirt-cheap survival foods, this is going to be the most important message you will ever hear.
[01:59:31.266 --> 01:59:41.889]  This network has just learned of a new video course that reveals the secrets of how to safely prepare and store all kinds of survival foods in a bit of social unrest and food shortages here in the U.S.
[01:59:42.289 --> 01:59:43.349]  And here's the best part.
[01:59:43.609 --> 01:59:46.930]  This course teaches you how to store food for pennies on the dollar.
[01:59:47.430 --> 01:59:49.214]  Hunger is spreading across the globe.
[01:59:49.615 --> 01:59:52.340]  Food riots have already broken out in over 20 countries.
[01:59:52.720 --> 01:59:55.085]  Will troops guard food supplies in the U.S.
[01:59:55.125 --> 01:59:55.566]  this winter?
[01:59:56.007 --> 01:59:56.628]  Don't wait!
[01:59:56.988 --> 01:59:59.934]  Learn the... Pulling out of the breakaway province of South Ossetia.
